Name,Phone,URL,Square Feet Total,Neighborhood,Organization Type,Dominant Discipline,Year of Occupation,Rent vs Own,Age of Current Building,Length of Lease (Date), Year Organization Founded,Number of Past Facilities,Stages and Theaters,Stage & Theater Seats ,Gallery Space,Gallery Square Feet,ADA Compliant,Available Parking,Street Presence,Rental Space ,Alcohol Sales,Organization Mission,Funded by A&C,Funded by 4Culture,"Stability Index (5=very stable, 1=very uncertain)","Control Index (5=very in control, 1 = very out of control) ",Constituency over 50% one race,Specific Demographics and Community,Organization Leadership,Organization Artists,Closed Date,Closed?,Address,Location
Grand Illusion,(206) 523-3935,www.grandillusioncinema.org,1000,University District,Y,Cinema,1973,R,1920,,2003,0,1,70,N,0,N,0,Y,Y,N,,N,,3,,,,,,,0,1403 NE 50th St. Seattle WA 98105,"(47.664752, -122.3127097)"
Gravelvoice,,www.scottcolburn.com,1000,Ballard,N,Music,2003,O,1908,0,1988,10,0,0,N,0,N,0,N,N,N,,N,,5,,,,,,,0,,
Green Lake Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,7201 East Green Lake Dr N Seattle WA 98115,"(47.680391, -122.325888)"
Greenwood Violin Studio,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,13000 Linden Ave N Seattle WA 98133,"(47.723804, -122.347351)"
Greg Kucera Gallery,(206) 624-0770,www.gregkucera.com,8000,Pioneer Square,N,Visual,1998,O,1904,0,1983,1,0,0,,,N,3,Y,Y,Y,,N,,5,,,,,,,0,212 3rd Ave S Seattle WA 98104,"(47.6004217, -122.3298023)"
Greg Thompson Productions,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,921 Elliott Ave W Seattle WA 98119,"(47.627329, -122.36935)"
Grover Thurston Gallery,(206) 223-0816,www.groverthurston.com,1500,Pioneer Square,N,Visual,2010,R,1910,,1989,2,0,0,Y,1500,Partial,0,Y,N,N,,N,,4,,,,,,,0,319 3rd Ave S Seattle WA 98104,"(47.5994156, -122.3305147)"
Guitar Center,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,530 Westlake Ave Seattle WA 98109,"(47.623835, -122.33846)"
Half Price Books,,,,,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,4709 Roosevelt Way N.E. Seattle WA 98105,"(47.663578, -122.317726)"
Hall Spassov Gallery,(206) 923-0816,www.hallspassov.com,5000,Pioneer Square,N,Visual,2002,R,1915,2017,2002,2,0,0,Y,5000,Y,0,Y,N,N,,N,,4,,,,,,,0,319 3rd Avenue S Seattle WA 98104,"(47.627403, -122.347137)"
Haller Lake Community Club,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,12579 Densmore Ave N Seattle WA 98133,"(47.721672, -122.338554)"
Haller Lake United Methodist Church,(206) 362-5383,www.hallerlakeumc.org,1200,Haller Lake,Y,Music,1952,O,1952,0,1912,0,0,0,N,0,Y,100,Y,N,N,,N,,5,,,,,,,0,13055 1st Ave NE Seattle WA 98125,"(47.72465145, -122.3293843)"
Hanson Scott Gallery,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,121 Prefontaine Pl S Seattle WA 98104,"(47.6011373, -122.3295897)"
Hard Rock Cafe,(206) 204-2233,www.hardrock.com,14000,Downtown,N,Multi-use,2010,R,1920,,2010,0,0,0,N,0,Y,0,Y,Y,Y,,N,,5,,,,,,,0,116 Pike St Seattle WA 98101,"(47.6093109, -122.3394956)"
Harvard Exit Theatre (CLOSED),,,,,,Cinema,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-31T00:00:00,1,807 E Roy St Seattle WA 98102,"(47.6250082, -122.3215822)"
Hawthorne Stereo,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,6303 Roosevelt Way NE Seattle WA 98115,"(47.674288, -122.317353)"
"HeART, the Gallery",,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,570 1st Ave A Seattle WA 98104,"(47.5963028, -122.3338311)"
Heartland (CLOSED),,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,1,5306 Roosevelt Way NE Seattle WA 98105,"(47.66739015, -122.3170984)"
Hengda Dance Academy,(206) 287-9998,www.hengdadance.com,1100,International District,Y,Arts/Cultural Training or Education,1995,R,1985,2024,1993,3,0,,N,0,I don't know.,1,N,N,N,,Y,,5,,,,,,,0,815 S Weller St Seattle WA 98104,"(47.5972693, -122.321963)"
Henry Art Museum,(206) 543-2280,www.henryart.org,40000,University District,Y,Visual,1927,Other,1927,2017,1927,0,1,150,Y,16004,Y,0,N,N,Y,,Y,,5,,,,,,,0,15th Ave NE Seattle WA 98105,"(47.6539065, -122.3121096)"
High Dive,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,513 N 36th St Seattle WA 98103,"(47.6513564, -122.3515985)"
High Point Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,6920 34th Ave SW Seattle WA 98126,"(47.540237, -122.37336)"
High Voltage Music Store,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,910 E Pike St Seattle WA 98122,"(47.614338, -122.320107)"
Highland Park Improvement Club,(206) 762-9825,www.hpic1919.org,3000,Highland Park,Y,Multi-use,1919,O,1970,,1919,0,1,100,N,0,Partial,15,Y,Y,Y,,N,,3,,,,,,,0,1116 SW Holden St Seattle WA 98106,"(47.5342216, -122.3500717)"
Highway 99 Blues Club,(206) 382-2171,www.highwayninetynine.com,6000,Downtown,N,Music,2004,R,1909,2015,2001,0,1,160,Y,350,Y,0,Y,Y,Y,,N,,4,,,,,,,0,1414 Alaskan Way Seattle WA 98101,"(47.6017992, -122.3366083)"
Hillman Guitar Instruction,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,2412 Westlake Ave N Suite 2A Seattle WA 98109,"(47.640102, -122.341103)"
Historic Seattle Dearborn House,,,,,,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,0,1117 Minor Ave Seattle WA 98101,"(47.610874, -122.32547)"
History House of Greater Seattle,,,,,,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,0,790 N 34th St Seattle WA 98103,"(47.649347, -122.348076)"
Hobby Lobby,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,3200 Aurora Ave N Seattle Wa 98133,"(47.754509, -122.34565)"
Hollow Earth Radio,(206) 588-5437,www.hollowearthradio.org,1000,Central District,Y,Music,2010,R,1900,2016,2006,0,0,0,Y,25,N,0,Y,N,N,,Y,,3,,,,,,,0,2018 A E. Union St Seattle WA 98122,"(47.6129184, -122.316028)"
Holy Cow Records,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,1501 Pike Pl Suite 325 Seattle WA 98121,"(47.608707, -122.341049)"
Horn of Africa Services,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,4714 Rainier Avenue South Suite 105 Seattle WA 98118,"(47.560077, -122.286461)"
Hot Glass Color,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,2227 5th Ave Seattle WA 98121,"(47.615477, -122.34221)"
House Studios,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,325 2nd Ave West Seattle WA 98119,"(47.62178, -122.359718)"
Howard House,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,604 2nd Ave Seattle WA 98104,"(47.602619, -122.3323144)"
Hugo House,(206) 322-7030,www.hugohouse.org,11000,Capitol Hill,Y,Literary,2004,R,1900,,2000,2,2,87,,,Y,20,Y,Y,Y,,N,,2,,,,,,2016-05-15T00:00:00,1,1634 11th Ave Seattle WA 98122,"(47.6162473, -122.3178798)"
Hugo House,(206) 322-7030,www.hugohouse.org,,First Hill,Y,Literary,2016,R,,,2000,3,,,,,Y,0,Y,Y,Y,,N,,,,,,,,,0,"1021 Columbia St, Seattle, WA 98104","(47.60755, -122.32401)"
Humanities Washington,(206) 682-1770,www.humanities.org,2450,South Lake Union,Y,Arts/Cultural Administration or Advocacy,2013,R,2000,2021,1973,5,0,,N,,Y,2,Y,N,N,,N,,4,,,,,,,0,"1015 8th Ave. N., Suite B Seattle WA 98109","(47.6134869, -122.3144433)"
ID/Chinatown Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,719 8th Ave S Seattle WA 98104,"(47.596419, -122.322446)"
"Igimo Art Station, LLC",(206) 760-3797,www.igimo.com,632,Columbia City,N,Arts/Cultural Training or Education,2015,R,1960,2016,2014,1,0,0,I don't know.,0,Y,2,Y,N,I don't know.,,N,,5,,,,,,,0,"4739 Rainier Ave S, Seattle, WA 98118","(47.559563, -122.286736)"
Illumination Learning Studio,(206) 789-ARTS,www.ILSKids.com,2500,Phinney Ridge,N,Arts/Cultural Training or Education,2013,R,1990,3,2013,0,1,40,N,,Y,0,Y,N,N,,N,,4,,,,,,,0,7720 Greenwood Ave N #101 Seattle WA 98103,"(47.68528, -122.354912)"
Image Journal,(206) 281-2988,www.imagejournal.org,1000,Queen Anne,Y,Visual,2001,Other,1980,,1989,2,0,0,N,,I don't know.,3,I don't know.,N,N,,N,,5,,,,,,,0,3307 3rd Ave W Seattle WA 98119,"(47.649069, -122.36089)"
Impact Hub Seattle,(206) 430-6007,www.impacthubseattle.com,20000,Pioneer Square,N,Live/Work,2011,R,1905,2024,2010,2,0,0,Y,2000,Partial,0,Y,Y,Y,,N,,5,,,,,,,0,220 2nd Ave S Seattle WA 98104,"(47.6007271, -122.3313269)"
Impress Cards and Crafts,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,2621 NE Village Lane Seattle WA 98105,"(47.6604, -122.280525)"
Inscape Building,(206) 458-2716,www.inscapearts.org,77000,International District,N,Studios,2010,O,1930,0,2010,0,1,100,Y,600,Y,22,Y,Y,N,,N,,5,,,,,,,0,815 Seattle Blvd S Seattle WA 98134,"(47.59511695, -122.3270859)"
Interbay Worklofts,(206) 286-3550,www.interbayworklofts.com,2000,Interbay,N,Multi-use,2012,Other,2013,0,2012,0,0,0,N,0,Y,92,Y,Y,N,,N,,4,,,,,,,0,3131 Western Ave #419 Seattle WA 98121,"(47.6182617, -122.3577413)"
International Drop-In Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,7301 Beacon Ave S Seattle WA 98108,"(47.536369, -122.293419)"
Interstitial,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,"6007 12th Ave South 3rd Floor Seattle, WA 98108","(47.548885, -122.317596)"
IsGood Woodworks,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,"4660 E Marginal Way S #7 Seattle, WA 98134","(47.560593, -122.338676)"
Jack Straw,(206) 634-0919,www.jackstraw.org,11000,University District,Y,Multi-use,1985,O,1922,0,1962,3,1,,Y,300,Partial,0,Y,Y,Y,,Y,,5,,,,,,,0,4261 Roosevelt Way NE Seattle WA 98105,"(47.6593157, -122.3179173)"
Jamtown,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,12729 Lake City Way NE Seattle WA 98125,"(47.722147, -122.2941323)"
JCCCW Japanese Cultural & Community Center of WA,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,1414 S Weller St Seattle WA 98144,"(47.597744, -122.312012)"
Jefferson Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,3801 Beacon Ave S Seattle WA 98108,"(47.569634, -122.307473)"
Jeffrey Moose Gallery,(206) 467-6951,www.jeffreymoosegallery.com,2400,Downtown,N,Visual,1995,R,1972,,1992,2,0,0,Y,2000,Y,80,N,N,Y,,N,,2,,,,,,,0,1333 5th Ave # 2 Seattle WA 98101,"(47.6091917, -122.3345412)"
Jet City Improv,(206) 352-8291,www.jetcityimprov.org,4250,University District,Y,Performance,2003,R,1937,,1992,3,1,132,N,,Y,1,Y,Y,Y,,Y,,5,,,,,,,0,5510 University Way NE Seattle WA 98105,"(47.6688694, -122.3126674)"
Jive Time,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,3506 Fremont Ave N Seattle WA 98103,"(47.65066, -122.34989)"
Jo Ann Fabrics and Crafts Ballard,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,2217 NW 57th St Seattle WA 98107,"(47.669819, -122.385689)"
Jo Ann Fabrics and Crafts Aurora,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,15236 Aurora Ave N Seattle WA 98133,"(47.739364, -122.345273)"
Juan Alonso Studio,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,214 1st Ave S Suite B15 Seattle WA 98104,"(47.6004712, -122.333963)"
Julia's on Broadway,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,300 Broadway East Seattle WA 98102,"(47.621319, -122.320541)"
Jupiter Studios,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,4000 Wallingford Ave North Seattle WA 98013,"(47.6558318, -122.3360715)"
Kate Alkarni Gallery,(206) 453-0043,www.katealkarnigallery.com,1500,Georgetown,N,Visual,2012,R,1968,2014,2012,0,0,0,Y,1500,Y,,Y,N,Y,,N,,4,,,,,,,0,5701 6th Ave S Atrium Suite 221 Seattle WA 98108,"(47.5514664, -122.3283134)"
KCTS 9,"401 Mercer St. Seattle, WA, 98109",,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"(47.623882, -122.348251)"
Kennelly Keys Music,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,10720 5th Ave NE Seattle WA 98125,"(47.707703, -122.323263)"
Kenyon Hall,(206) 937-3613,www.kenyonhall.org,1200,West Seattle,Y,Performance,1992,O,1916,0,1992,0,1,125,N,0,Partial,1,Y,Y,N,,N,,5,,,,,,,0,7904 35th Ave SW Seattle WA 98126,"(47.5316617, -122.3761768)"
Keys on Main,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,11 Roy St Seattle WA 98109,"(47.6253458, -122.3561735)"
Khambatta Dance Company,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,5609 34th Ave SW Seattle Washington 98126,"(47.551598, -122.375336)"
Kind Hand Studio (CLOSED),(206) 618-1447,www.khspottery.com,158,Ballard,N,Arts/Cultural Training or Education,2012,R,,,2000,1,0,0,N,0,,0,,,N,,N,,2,,,,,,2013-12-01T00:00:00,1,4775 Ballard Ave NW Seattle WA 98107,"(47.6642404, -122.3810653)"
Kings Hall,(206) 550-4193,www.king shells rattle.com,10000,Beacon Hill,N,Performance,2010,R,1960,2020,2010,,1,800,Y,,Y,175,N,N,I don't know.,,N,,4,,,,,,,0,2929 27th Ave South Seattle WA 98118,"(47.5681098, -122.2973139)"
Kinokuniya Book Store,(206) 587-2477,www.kinokuniya.com/us,8020,International District,N,Literary,2003,R,2000,"2,015",2003,1,0,0,N,0,,,Y,,N,,N,,5,,,,,,,0,525 South Weller St. Seattle WA 98144,"(47.5975101, -122.3116039)"
Kinsey Gallery,(206) 296-2340,www.seattleu.edu/artsci/departments/fine-arts/venues/kinsey,150,First Hill,Y,Visual,2008,O,2009,0,2008,0,0,0,Y,,Y,0,Y,Y,Y,,N,,5,,,,,,,0,824 12th Ave Seattle WA 98122,"(47.6100596, -122.3163837)"
Kirsten Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,5320 Roosevelt Way NE Seattle WA 98105,"(47.6677253, -122.3170573)"
Klondike Gold Rush National Historic Park,,,,,,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,0,319 2nd Ave S Seattle WA 98104,"(47.599373, -122.331978)"
Kobo at Hibo,,,,International District,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,604 S Jackson St Seattle WA 98104,"(47.599202, -122.326082)"
Krab Jab Studio,(206) 715-8593,www.krabjabstudio.com,946,Georgetown,N,Visual,2009,R,1893,2014,2011,2,0,0,Y,400,,25,N,Y,N,,N,,4,,,,,,,0,5628 Airport Way South Ste 246 Seattle WA 98108,"(47.5515231, -122.3186879)"
Kremwerk,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,1809 Minor Ave #10 Seattle WA 98101,"(47.616871, -122.331184)"
KUOW Puget Sound Public Radio,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,4518 University Way NE Suite 310 Seattle WA 98105,"(47.661858, -122.31279)"
KXSU Radio,(206) 296-6000,www.ksubseattle.org,500,First Hill,Y,Music,2005,O,1950,0,1996,1,1,,N,0,,0,N,N,N,,N,,5,,,,,,,0,901 12th Ave Seattle WA 98122,"(47.6106553, -122.3171103)"
L x W x H,(206) 697-5156,www.lengthbywidthbyheight.com,404,Georgetown,N,Visual,2012,R,1907,2014,2010,0,0,0,Y,404,N,0,Y,N,N,,N,,5,,,,,,,0,6007 12th Ave S Seattle WA 98108,"(47.5488654, -122.3174654)"
L.A.B at Seattle Drum School of Music,(206)364-8815,www.seattledrumschool.com,8300,Pinehurst,N,Performance,1986,R,1928,,1986,0,1,90,N,0,Partial,37,Y,N,N,,N,,1,,,,,,,0,12510 15th Ave NE Seattle WA 98125,"(47.7196359, -122.3125577)"
Laguna,(206) 682-6162,www.lagunapottery.com,2000,Pioneer Square,N,Visual,1997,R,1915,2025,1988,3,0,,Y,2000,Y,0,Y,N,N,,N,,5,,,,,,,0,116 S. Washington St Seattle WA 98104,"(47.601051, -122.333443)"
Landmark Guild 45th,,,,,,Cinema,,,,,,,,,,,,,,,,,,,,,,,,,,0,2115 N 45th St Seattle WA 98103,"(47.66112015, -122.3330128)"
Landmark Seven Gables Theatre,,,,,,Cinema,,,,,,,,,,,,,,,,,,,,,,,,,,0,911 NE 50th St Seattle WA 98105,"(47.6647555, -122.3177085)"
Landmark Varsity Theatre,,,,,,Cinema,,,,,,,,,,,,,,,,,,,,,,,,,,0,4329 University Way NE Seattle WA 98105,"(47.6607139, -122.3135097)"
Langston Hughes Performing Arts Institute,(206) 684-4757,www.langstoninstitute.org,30001,Central District,Y,Performance,1969,,1915,,1969,0,1,300,N,0,Partial,45,Y,Y,Y,,Y,,5,,,,,,,0,104 17th Ave S Seattle WA 98144,"(47.60129695, -122.3098251)"
Laundry Room Studio,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Laurelhurst Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,4554 NE 41st St Seattle WA 98105,"(47.659863, -122.278038)"
Lee Center for the Arts,(206) 296-5373,www.seattleu.edu/artsci/departments/fine-arts/venues/lee-center,10000,Capitol Hill,N,Performance,2006,O,1930,0,1890,3,1,180,Y,1500,Y,50,Y,N,Y,,N,,5,,,,,,,0,901 12th Ave Seattle WA 98122,"(47.6106553, -122.3171103)"
Left Bank Books,,,,,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,92 Pike St Seattle WA 98101,"(47.6088801, -122.3403995)"
Leif Erikson Lodge Sons of Norway,,,,,,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,0,2245 NW 57th St Seattle WA 98107,"(47.669819, -122.386803)"
Leisure Books,,,,,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,4537 California Ave SW Seattle WA 98116,"(47.562161, -122.38679)"
Light in the Attic Records,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,913 NW 50th St Seattle WA 98107,"(47.664829, -122.369316)"
Lightbank Studio,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,2200 N Pacific St Seattle WA 98103,"(47.649367, -122.332294)"
Linda Hodges Gallery,(206) 624-3034,www.lindahodgesgallery.com,2500,Pioneer Square,N,Visual,1956,R,1925,,1983,2,0,,Y,2500,I don't know.,0,Y,N,N,,N,,5,,,,,,,0,316 1st Ave S Seattle WA 98146,"(47.599457, -122.333794)"
Lisa Harris Gallery,(206) 443-3315,www.lisaharrisgallery.com,1100,Downtown,N,Visual,1984,R,1910,2017,1984,0,0,0,Y,1000,N,0,Y,N,N,,N,,3,,,,,,,0,1922 Pike Pl Seattle WA 98101,"(47.6083293, -122.3408128)"
Little Red Hen,,,,,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,7115 Woodlawn Ave NE Seattle WA 98115,"(47.6802289, -122.3248831)"
Living Computer Museum,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,2245 1st Ave S Seattle WA 98134,"(47.5825204, -122.334653)"
Lo-Fi Performance Gallery,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,429 Eastlake Ave E Seattle WA 98109,"(47.6229209, -122.3293344)"
Log House Museum,(206) 938-5293,www.loghousemuseum.info,1500,West Seattle,Y,Heritage,1997,Other,1904,0,1984,1,0,0,N,0,Partial,0,Y,N,N,,N,,5,,,,,,,0,3003 61st Ave SW Seattle WA 98116,"(47.5775947, -122.4109498)"
Longhouse Media,(206) 387-2468,www.longhousemedia.org,800,Capitol Hill,Y,Multi-use,2007,R,1920,,2005,1,2,300,N,0,Y,,Y,Y,N,,Y,,4,,,,,,,0,1515 12th Ave Seattle WA 98122,"(47.614429, -122.317253)"
Ltd. Art Gallery (CLOSED),(206) 457-2970,www.ltdartgallery.com,1100,Capitol Hill,N,Visual,2011,R,2008,2014,2011,0,0,0,Y,1000,Y,1,Y,Y,N,,N,,1,,,,,,2015-03-01T00:00:00,1,307 E Pike St Seattle WA 98122,"(47.6138928, -122.3271174)"
LUCID Lounge,(206) 402-3042,www.lucidseattle.com,1100,University District,N,Performance,2008,R,2000,2018,2008,0,1,50,Y,250,Y,0,Y,Y,Y,,N,,5,,,,,,,0,5241 University Way NE Seattle WA 98105,"(47.6676256, -122.3132962)"
M. Rosetta Hunter Art Gallery - Seattle Central Community College,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,1701 Broadway Seattle WA 98122,"(47.6169084, -122.321152)"
Macha Monkey Productions,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-31T00:00:00,1,2222 2nd Ave #200 Seattle WA 98121,"(47.613483, -122.344756)"
Mack 9 Music Group,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,212 Alaskan Way S #105A Seattle WA 98104,"(47.60038, -122.335144)"
MadArt,(206) 623-1180,www.madartseattle.com,3500,South Lake Union,N,Visual,2014,O,2014,,2009,1,0,0,Y,2000,Y,3,Y,Y,Y,,N,,5,,,,,,,0,325 Westlake Ave N Seattle WA 98109,"(47.6217088, -122.3389018)"
Made Sewing Studio,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,101 N 85th St Suite 201 Seattle WA 98103,"(47.69038, -122.357727)"
Magnolia Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,2550 34th Ave W Seattle WA 98199,"(47.644508, -122.399582)"
Magnuson Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,7110 62nd Ave NE Seattle WA 98115,"(47.680642, -122.26227)"
Magus Books,(206) 633-1800,www.magusbooksseattle.com,2800,University District,N,Literary,1978,R,1903,2016,1978,0,0,0,N,0,N,0,Y,N,N,,N,,3,,,,,,,0,1408 NE 42nd St Seattle WA 98105,"(47.6584363, -122.312882)"
Mainframe,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,5628 Airport Way S #110 Seattle WA 98108,"(47.551844, -122.319481)"
Majestic Bay,(206) 781-2229,www.majesticbay.com,8500,Ballard,N,Cinema,1999,O,1999,0,1999,0,3,500,N,0,Y,0,Y,N,N,,N,,5,,,,,,,0,2044 NW Market St Seattle WA 98107,"(47.6688574, -122.3841041)"
Makerhaus,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,122 NW 36th St Seattle WA 98107,"(47.6534516, -122.3585927)"
Martin Blank Studios,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,4407 6th Avenue Northwest Seattle WA 98107,"(47.661133, -122.364212)"
Martin-Zambito Fine Art,(206) 726-9509,www.martin-zambito.com,1200,First Hill,N,Visual,2009,R,1907,,1989,1,0,,Y,600,Y,2,N,N,N,,N,,5,,,,,,,0,1117 Minor Ave Seattle WA 98101,"(47.610901, -122.3254749)"
Martyr Sauce,(206) 624-0495,www.martyrsauce.com,110,Pioneer Square,Other,Performance,2012,R,1900,2016,2013,0,0,,Y,,N,0,Y,N,N,,N,,2,,,,,,,0,122 S Washington St. Seattle WA 98104,"(47.60089, -122.333385)"
Massive Monkees Studios,,www.massivemonkees.com,2200,Chinatown International District,N,Performance,2013,R,1950,2015,2001,0,0,0,Y,200,Partial,0,Y,Y,N,,N,,3,,,,,,,0,664 S King St Seattle WA 98104,"(47.598602, -122.324135)"
Master Works,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,2264 15th Ave W Seattle WA 98119,"(47.64052875, -122.3758254)"
Math 'n' Stuff,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,8926 Roosevelt Way NE Seattle WA 98115,"(47.693851, -122.317268)"
McComb Sound,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,"2230 1st Ave South Seattle, WA 98134","(47.582939, -122.333694)"
Meadowbrook Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,10517 35th Ave NE Seattle WA 98125,"(47.705251, -122.290856)"
Mercer Street Books,,,,,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,7 Mercer St Seattle WA 98109,"(47.624592, -122.356451)"
Meter Music School,(206) 355-6088,www.metermusicschool.com,1500,Central District,N,Music,2011,R,1920,2019,2011,0,0,0,Y,300,I don't know.,0,Y,Y,N,,N,,4,,,,,,,0,2110 E Union St Seattle WA 98122,"(47.613136, -122.304382)"
Metrix Create Space,(206) 357-9406,www.metrixcreatespace.com,2000,Capitol Hill,N,Multi-use,2009,R,1920,2024,2004,1,0,0,N,0,N,0,N,N,N,,N,,4,,,,,,,0,623 Broadway E Seattle WA 98102,"(47.624979, -122.3211541)"
Metropolitan Music,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,8414 5th Ave NE Seattle WA 98115,"(47.689869, -122.322983)"
MIA Gallery,(206) 467-4927,www.m-i-a-gallery.com,682,Downtown,N,Visual,2011,R,,2014,1990,0,0,0,,,Y,0,Y,N,Y,,N,,3,,,,,,,0,1203 2nd Ave Seattle WA 98101,"(47.6066246, -122.3369157)"
Mike and Mike's Guitar Bar,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,2418 NW 80th St Seattle WA 98117,"(47.68682, -122.388387)"
Milagros Mexican Folk Art Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,Pike Place Market 1530 Post Alley Seattle WA 98101,"(47.609297, -122.341213)"
Miller Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,330 19th Ave E Seattle WA 98112,"(47.621688, -122.307328)"
Miller School of Art,(206) 861-9265,www.millerschoolart.com,1738,Georgetown,N,Visual,2009,R,1929,2020,2003,1,0,0,Y,1500,,0,Y,Y,N,,N,,3,,,,,,,0,1226 S Bailey St Seattle WA 98108,"(47.5480284, -122.3164558)"
Mind Unwind Foundation,(206) 829-9128,www.mindunwind.org,2000,Admiral,Y,Arts/Cultural Training or Education,2011,R,2011,2017,2011,0,0,0,Y,500,Partial,0,Y,Y,Y,,N,,4,,,,,,,0,2206A California Ave SW Seattle WA 98116,"(47.583717, -122.386024)"
