Name,Phone,URL,Square Feet Total,Neighborhood,Organization Type,Dominant Discipline,Year of Occupation,Rent vs Own,Age of Current Building,Length of Lease (Date), Year Organization Founded,Number of Past Facilities,Stages and Theaters,Stage & Theater Seats ,Gallery Space,Gallery Square Feet,ADA Compliant,Available Parking,Street Presence,Rental Space ,Alcohol Sales,Organization Mission,Funded by A&C,Funded by 4Culture,"Stability Index (5=very stable, 1=very uncertain)","Control Index (5=very in control, 1 = very out of control) ",Constituency over 50% one race,Specific Demographics and Community,Organization Leadership,Organization Artists,Closed Date,Closed?,Address,Location
Admiral Theatre,,,,West Seattle,,Cinema,,,,,,,,,,,,,,,,,,,,,,,,,,0,2343 California Ave SW Seattle WA 98116,"(47.5819689, -122.3869421)"
Alexander's Bead Bazaar,,,,University District,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,6307 Roosevelt Way NE Seattle WA 98115,"(47.674446, -122.317734)"
Alki Arts,(206) 432-9936,www.alkiarts.com,6000,Downtown,N,Visual,2012,R,,2014,2009,2,0,0,Y,6000,,0,Y,Y,Y,,N,,2,,,,,,,0,55 University Seattle WA 98101,"(47.6060923, -122.3395432)"
Alki Bathhouse Studio,(206) 684-7430,www.seattle.gov/parks/arts/alkiart.htm,1550,West Seattle,Y,Multi-use,1920,O,1920,0,1920,0,0,0,Y,1550,Y,0,Y,Y,Y,,N,,5,,,,,,,0,1702 Alki Ave S.W. Seattle WA 98116,"(47.57968, -122.40967)"
Alki Community Center,,,,Alki,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,5817 SW Stevens St Seattle WA 98116,"(47.577271, -122.407364)"
All Metal Arts Hazardfactory,(206) 200-9496,www.allmetalarts.org,3000,South Park,N,Visual,2007,R,1985,2018,2000,2,0,,N,,I don't know.,20,Y,N,N,,N,,2,,,,,,,0,7800 7th Ave South Seattle WA 98108,"(47.53246, -122.32496)"
All Pilgrims Christian Church,,,,Capitol Hill,,Multi-use,,,,,,,,,,,,,,,,,,,,,,,,,,0,500 Broadway E Seattle WA 98102,"(47.62336, -122.320374)"
Artspace Mt Baker Lofts,,,,,,Live/Work,,,,,,,,,,,,,,,,,,,,,,,,,,0,2915 Rainier Avenue S Seattle WA 98144,"(47.577168, -122.297668)"
All That Dance,206-457-4891,info@all-that-dance.com,3000,Greenwood,N,Performance,2012,R,1970,2023,1995,1,0,,N,,Partial,25,N,N,N,,N,,4,,,,,,,0,320 N 85th St Seattle WA 98103,"(47.691212, -122.354279)"
Allied Arts Foundation,,,,Madison Park,,Arts/Cultural Administration or Advocacy,,,,,,,,,,,,,,,,,,,,,,,,,,0,1620 43rd Ave E #16A Seattle WA 98112,"(47.63382, -122.276352)"
ALTspace,(206) 424-7863,www.airlighttimespace.org,2500,Central District,Y,Studios,2010,R,1910,2015,2011,0,0,0,N,0,,0,Y,N,N,,N,,4,,,,,,,0,2318 E Cherry St Seattle WA 98122,"(47.6081565, -122.3018854)"
AMC Loews Oak Tree 6,,,,Licton Springs,,Cinema,,,,,,,,,,,,,,,,,,,,,,,,,,0,10006 Aurora Ave N Seattle WA 98133,"(47.7018421, -122.3424979)"
AMC Pacific Place 11,,,,Downtown,,Cinema,,,,,,,,,,,,,,,,,,,,,,,,,,0,600 Pine St #400 Seattle WA 98101,"(47.61287415, -122.3352762)"
American Dance Institute,(206) 783-0755,www.americandanceinstitute.com,2800,Greenwood,N,Arts/Cultural Training or Education,1988,R,1940,2018,1988,0,0,0,N,0,N,2,Y,Y,N,,N,,3,,,,,,,0,8001 Greenwood Ave N Seattle WA 98103,"(47.6870482, -122.3554887)"
American Music,,,,Fremont,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,4450 Fremont Ave N Seattle WA 98103,"(47.66098, -122.349632)"
Annex Theatre,(206) 728-0933,www.annextheatre.org,3750,Capitol Hill,Y,Performance,2007,R,1910,,1986,5,1,99,N,0,N,0,Y,Y,Y,,N,,2,,,,,,,0,1100 E Pike St Seattle WA 98122,"(47.61426, -122.317856)"
Anthony Peters' Tap Dance Seattle,,,,Green Lake,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,6600 1st Ave NE Seattle WA 98115,"(47.6777479, -122.3280274)"
Arab Center of Washington,,www.arabcenterwa.org,200,Haller Lake,Y,Arts/Cultural Administration or Advocacy,2001,R,1980,,1992,1,0,,I don't know.,0,Y,30,N,N,N,,Y,,4,,,,,,,0,12525 28th Ave NE 2nd Floor Seattle WA 98125,"(47.719806, -122.297703)"
ARC Dance,(206) 352-0798,www.arcdance.org,9000,Crown Hill,Y,Performance,2004,R,1950,2023,1998,0,1,150,N,0,Y,0,Y,Y,N,,N,,3,,,,,,,0,9250 14th Ave NW Seattle WA 98117,"(47.6973909, -122.3736435)"
Arcane Comics & More,,,,Ballard,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,2016,1,5809 15th Ave NW Seattle WA 98107,"(47.671105, -122.37624)"
Arcane Comics & More,,,,Haller Lake,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,"15202 Aurora Ave N, Shoreline WA 98133","(47.73945, -122.34394)"
Ark Lodge Cinemas,206 721 3156,arklodgecinemas.com,7000,Columbia City,N,Cinema,2012,R,1921,2027,2012,0,4,422,N,,Partial,0,Y,N,N,,N,,4,,,,,,,0,4816 Rainer Ave South Seattle WA 98118,"(47.559012, -122.285612)"
Art Institute of Seattle,(206) 448-6600,www.artinstitutes.edu/seattle,100167,Belltown,N,Arts/Cultural Training or Education,1983,R,,2026,1946,2,0,0,Y,1600,Y,0,Y,N,Y,,N,,4,,,,,,,0,2323 Elliott Ave Seattle WA 98121,"(47.6122895, -122.3491939)"
Art On The Ridge,,,,Greenwood,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,8005 Greenwood Ave N Seattle WA 98103,"(47.6871653, -122.3554887)"
Art Stall Gallery,,,,Downtown,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,97 Pike Pl Seattle WA 98101,"(47.6094497, -122.3418366)"
Art With A Heart,,,,First Hill,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,316 Broadway Suite 316 Seattle WA 98122,"(47.604534, -122.320335)"
Art Xchange Gallery,(206) 839-0377,www.artxchange.org,2000,Pioneer Square,N,Visual,2005,O,,0,1995,2,0,0,Y,,Y,4,Y,Y,N,,N,,4,,,,,,,0,512 1st Ave S Seattle WA 98104,"(47.5979017, -122.3339034)"
Artech,,,,Downtown,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,2601 1st Ave Seattle WA 98121,"(47.615215, -122.350227)"
Artforte Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,307 Occidental Ave S Seattle WA 98104,"(47.5998538, -122.3331316)"
ArtFX Studio Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,420 N. 35th St. Seattle WA 98103,"(47.6513614, -122.3534984)"
Arthur Murray Dance Studio,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,130 Western Ave W Seattle WA 98119,"(47.6194127, -122.3583566)"
Artist & Craftsman Supply,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,4350 8th Ave NE Seattle WA 98105,"(47.6599873, -122.319659)"
Artist Trust,(866) 218-7878,www.artisttrust.org,3500,Capitol Hill,Y,Arts/Cultural Administration or Advocacy,2001,O,2002,0,1987,1,0,0,N,0,Y,4,Y,N,N,,Y,,5,,,,,,,0,1835 12th Ave Seattle WA 98122,"(47.6185686, -122.3172487)"
Arts and Visually Impaired Audiences,(206) 323-7190,www.artsvia.org,90,Capitol Hill,Y,Arts/Cultural Administration or Advocacy,2010,R,1995,,1991,4,0,,N,,Y,0,N,N,N,,Y,,4,,,,,,,0,400 Harvard Ave. E. #202 Seattle WA 98102,"(47.622562, -122.321693)"
Arts in Motion,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,,,,,,,,0,4730 32nd Ave S Seattle WA,"(47.559883, -122.290634)"
Arts West,(206) 938-0339,www.artswest.org,12680,West Seattle,Y,Multi-use,1998,O,1928,0,1998,0,1,149,Y,900,Y,0,Y,,Y,,Y,,4,,,,,,,0,4711 California Ave SW Seattle WA 98116,"(47.5607163, -122.3871398)"
ArtsFund,(206) 281-9050,www.artsfund.org,3700,Queen Anne,Y,Arts/Cultural Administration or Advocacy,2006,O,1964,,1970,1,0,,N,,Y,40,Y,N,N,,N,,5,,,,,,,0,10 Harrison St Suite 200 Seattle WA 98109,"(47.61819595, -122.3362331)"
Artspace Hiawatha Lofts,(206) 709-7611,www.artspace.org,88843,Central District,Y,Live/Work,2010,Other,2008,0,1979,0,0,0,Y,1500,Y,60,Y,N,N,,N,,5,,,,,,,0,843 Hiawatha Pl S Seattle WA 98144,"(47.5951899, -122.3099181)"
Artspace Tashiro Kaplan Lofts and the Angle & Corridor Gallery,(206) 223-1160,www.tklofts.com,130000,Pioneer Square,N,Live/Work,2004,O,1902,0,2004,0,0,0,Y,,Partial,24,Y,Y,N,,,,5,,,,,,,0,115 Prefontaine Place S Seattle WA 98104,"(47.6012805, -122.3297091)"
Asian Resource Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,0,1025 South King St. Seattle WA 98104,"(47.597923, -122.318398)"
Atlas Theatre,,,,,,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,0,3509 Fremont Ave N Seattle WA 98103,"(47.65066, -122.34989)"
AudioLogic,(206) 817-8760,www.audiologicinc.com,1450,Lake City,N,Studios,1993,R,1935,,1993,0,0,0,N,0,,0,,N,N,,N,,2,,,,,,,0,12047 31st Ave NE Seattle WA 98125,"(47.7170286, -122.2955694)"
Avalon Glassworks,(206) 937-6369,www.avalonglassworks.com,1300,West Seattle,N,Studios,2002,R,1922,,1992,0,0,0,Y,550,N,1,Y,N,N,,N,,4,,,,,,,0,2914 SW Avalon Way Seattle WA 98126,"(47.5707566, -122.3710219)"
Avanti Art and Design/Avanti Co-Op Gallery,(206) 784-8475,www.avantiartdesign.org,1500,Phinney Ridge,,Visual,2012,R,1920,,2011,1,0,0,Y,1100,,2,Y,Y,N,,N,,4,,,,,,,0,7601 Greenwood Ave N #101 Seattle WA 98103,"(47.6841406, -122.3555094)"
Avast Recording Co,(206) 633-3926,www.avastrecording.com,7500,Greenwood,N,Music,2004,O,1927,0,1989,1,0,0,N,0,Partial,5,Y,N,N,,N,,4,,,,,,,0,601 NW 80th St Seattle WA 98117,"(47.6867128, -122.3636508)"
AXIS Pioneer Square,(206) 681-9316,www.axispioneersquare.com,6000,Pioneer Square,N,Performance,2013,R,1890,,2013,0,0,,Y,800,I don't know.,0,Y,I don't know.,Y,,N,,4,,,,,,,0,308 1st Ave S Seattle WA 98104,"(47.615789, -122.3441663)"
Azuma Gallery,,,,Pioneer Square,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,530 1st Ave South Seattle WA 98104,"(47.5975149, -122.3339613)"
B L M F Literary Saloon,,,,Downtown,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,1501 Pike Pl #322 Seattle WA 98101,"(47.608707, -122.341049)"
Baas Framing Studio & The Madison Art Collective,(206) 324-4742,www.baasframingstudio.com,1200,Madison Valley,N,Visual,1995,R,1955,,1993,1,0,0,Y,600,Y,1,Y,N,N,,N,,2,,,,,,,0,2703 E Madison Seattle WA 98112,"(47.622675, -122.297416)"
Bad Animals,,,,Belltown,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,2212 4th Ave Seattle WA 98121,"(47.6151383, -122.342923)"
Bahia In Motion,(206) 819-3334,www.bahiainmotion.com,1250,Fremont,N,Arts/Cultural Training or Education,2008,R,1920,2020,2008,2,0,0,Y,300,N,1,Y,Y,N,,N,,4,,,,,,,0,418 N 35th St Seattle WA 98103,"(47.65147, -122.3536)"
Ballard Academy of Music & Dance,,,,Loyal Heights,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,N,,,,,,,,,0,2404 NW 80th St Seattle WA 98117,"(47.6869229, -122.3878221)"
Ballard Alki Lodge IOOF-Ballard-Alki Lodge #170,(206) 782-9646,www.seattleoddfellows.org,2251,Ballard,Y,Multi-use,1903,O,1903,,1819,0,0,,Y,451,Partial,0,Y,Y,N,,N,,5,,,,,,,0,1706 NW Market St Seattle WA 98107,"(47.6689407, -122.3793225)"
Ballard Community Center,(206) 684-4093,www.seattle.gov,100,Ballard,N,Community Center,1980,O,1980,,1980,1,0,,I don't know.,,Partial,25,I don't know.,Y,N,,N,,3,,,,,,,0,6020 28th Avenue NW Seattle WA 98115,"(47.672783, -122.391548)"
Ballard NW Senior Center,(206) 297-0403,www.BallardSeniorCenter.org,4200,Ballard,N,Community Center,1973,Other,1953,,1973,0,0,0,N,,Y,12,Y,Y,Y,,N,,5,,,,,,,0,5429 32nd NW Seattle WA 98107,"(47.668369, -122.398666)"
Ballard Rock Rooms/Birds Nest,(206) 369-7588,,8800,Ballard,N,Music,2014,O,1940,,2013,0,0,0,N,0,Y,0,N,Y,N,,N,,5,,,,,,,0,632 NW 46th St Seattle WA 98107,"(47.6624817, -122.3655177)"
BallardWorks LLC,(206) 784-9987,www.ballardworks.org,14000,Ballard,Other,Studios,2004,O,1961,,2003,0,0,,Y,501,Partial,6,Y,Y,N,,N,,5,,,,,,,0,2856 NW Market St Seattle WA 98107,"(47.6688915, -122.3954081)"
Baltic Room,,,,Capitol Hill,,Music,,,,,,,,,,,,,,,,,,,,,,,,,,0,1207 Pine St Seattle WA 98101,"(47.6149287, -122.3282665)"
Barnes & Noble - Downtown,,,,Downtown,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,600 Pine St Suite 107 Seattle WA 98101,"(47.61287415, -122.3352762)"
Barnes & Noble - Westwood Village,,,,,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,2600 SW Barton St Suite E-1 Seattle WA 98126,"(47.610049, -122.282632)"
Barnes & Noble -Northgate,,,,Northgate,,Literary,,,,,,,,,,,,,,,,,,,,,,,,,,0,401 NE Northgate Way #1100 Seattle WA 98125,"(47.7083148, -122.3281769)"
Barsuk Records,,,,Queen Anne,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,217 W. Galer St Seattle WA 98119,"(47.6321308, -122.3599365)"
Bass Northwest,(206) 622-2277,www.bassnw.com,2500,Pioneer Square,N,Music,1993,R,1889,2016,1993,0,0,,N,0,I don't know.,0,Y,N,N,,N,,4,,,,,,,0,119 Yesler Way Seattle WA 98104,"(47.622562, -122.321701)"
Bayview Work Lofts,,,,,,Live/Work,,,,,,,,,,,,,,,,,,,,,,,,,,0,168 Western Ave W Seattle WA 98119,"(47.619567, -122.359014)"
Beadworld,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,0,9524 Roosevelt Way NE Seattle WA 98115,"(47.698005, -122.317615)"
Bell & Reed,,,,Pioneer Square,,Service/Supply,,,,,,,,,,,,,,,,,,,,,,,,,,1,15 Prefontaine Pl. S Suite 510 Seattle WA 98104,"(47.601719, -122.330269)"
Belle and Wissell/Oxbow,(206) 322-7908,www.bwco.info,11250,Georgetown,N,Multi-use,2011,O,1925,0,2003,1,1,,Y,2500,Y,8,Y,Y,Y,,Y,,5,,,,,,,0,6014 12th Ave S Seattle WA 98108,"(47.5487509, -122.3170704)"
Belltown Ballet BBC Studio,(206) 851-6526,www.belltownballet.com,1200,Belltown,N,Arts/Cultural Training or Education,2005,R,1,,1985,3,0,,N,,Y,0,Y,Y,N,,N,,2,,,,,,,0,2306 4th Ave Seattle WA 98121,"(47.6015999, -122.3332441)"
Bemis Building,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,,,,,0,55 South Atlantic St Seattle WA 98134,"(47.5900022, -122.3362466)"
Benaroya Hall,(206) 215-4800,www.seattlesymphony.org/benaroya,362250,Downtown,Y,Music,1998,R,1998,2083,1998,0,3,3100,Y,210000,Y,430,Y,Y,Y,,N,,4,,,,,,,0,200 University St Seattle WA 98101,"(47.60812795, -122.3369748)"
Between Cultures Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,,,,,,,,0,8809 Roosevelt Way NE Seattle WA 98115,"(47.69239, -122.31763)"
Bherd Studios,(206) 234-8348,www.bherdstudios.com,1000,Greenwood,N,Visual,2011,R,,2015,2006,2,0,0,,,N,20,N,N,N,,N,,2,,,,,,,0,312 N. 85th St. Suite 101 Seattle WA 98103,"(47.69077345, -122.3549791)"
Bill & Melinda Gates Foundation Visitor Center,(206) 709-3100,www.gatesvc.org,10000,Uptown,Y,Arts/Cultural Administration or Advocacy,2012,O,2008,,2000,0,1,65,N,,Y,0,Y,N,N,,N,,5,,,,,,,0,440 5th Ave. N Seattle 98109,"(47.622541, -122.34748)"
